What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,58,55-64,Independent,DK/REF,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,35,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,54,45-54,Independent,DK/REF,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Steve Mnuchin,50,FALSE,FALSE,FALSE,DK/REF,,
Female,65,65+,Independent,DK/REF,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,Low GDP,DK/REF,,30,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,53,45-54,Republican,5,Some college,,Latino,,Strongly Approve,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,50,FALSE,TRUE,FALSE,DK/REF,Don't know,
Female,49,45-54,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Billions,DK/REF,Correct,Ben Stein,40,TRUE,FALSE,FALSE,Barack Obama,,
DK/REF,25,25-34,DK/REF,DK/REF,High school or less,,Black,,DK/REF,Less knowlegeable,Not very well informed,More than once,DK/REF,High GDP,DK/REF,,50,TRUE,TRUE,TRUE,Vladimir Putin,Don't know,
Male,50,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Once a month,Trillions,High GDP,DK/REF,,80,FALSE,TRUE,FALSE,DK/REF,Don't know,
Female,54,45-54,Independent,DK/REF,College degree,,Asian,,DK/REF,Less knowlegeable,Well Informed,Once a year,DK/REF,DK/REF,DK/REF,,50,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Female,23,18-24,Independent,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Once a year,Billions,High GDP,Correct,,50,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,53,45-54,Republican,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,Warren Buffett,75,TRUE,TRUE,FALSE,Barack Obama,,
Male,43,35-44,Republican,Not Very Strong conservative,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,More than once,Trillions,Low GDP,Incorrect,,40,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,34,25-34,Independent,5,Graduate degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
DK/REF,21,18-24,DK/REF,DK/REF,College degree,,DK/REF,,DK/REF,DK/ REF,DK/REF,More than once,Trillions,DK/REF,Correct,Obama,2,TRUE,FALSE,FALSE,DK/REF,,
Female,63,55-64,Republican,Not Very Strong conservative,College degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a year,Billions,DK/REF,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,0,DK/REF,FALSE,FALSE,DK/REF,Don't know,
Female,51,45-54,Republican,5,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Ben Stein,40,TRUE,FALSE,FALSE,Barack Obama,,
Female,35,35-44,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Warren Buffett,30,FALSE,TRUE,FALSE,Barack Obama,,
