What gender do you identify with?,Age,Age Range ,"In politics today, do you consider yourself a Democrat, a Republican, or Independent?","Would you say you are liberal, conservative, or moderate?","What is your highest level of education? (High school or less, Some college, College degree, Graduate degree)",Q5OTH1,"What is your race? (white, black, latino, asian, other)",Q6OTH1,"Do you approve, disapprove, or neither approve nor disapprove of how Donald Trump is handling his job as president? (for ""approve"" or ""disapprove,"" probe: strongly or somewhat?)","Would you say you are more knowledgable, less knowledgeable, or equally knowledgeable as the average American about political issues?","Would you say that your opinions about economic policy are well-informed, or not very well-informed?","How often do you get into arguments about politics? Never, once a year, once a month, once a week, or more than once a week?","If you had to guess the size of the federal budget, do you think it would be in millions, billions, or trillions?",Do you think it’s good for a country to have a high GDP or a low GDP?,"Can you name the three branches of government? (if they name legislative, executive, and judicial, mark ""correct""; otherwise, mark ""incorrect"")","Can you name one economist who is alive today? (write down the name they provide, ask for spelling)","If you had to guess, what percentage of economists believe that Trump’s decision to impose tariffs on steel and aluminum will improve American welfare?",True or false: The national crime rate is higher this decade than it was the previous decade.,"True or false: If a scientific study finds a correlation between poverty and crime, it proves that poverty causes crime.",True or false: The statue of liberty is located in Washington D.C.,"Who would you prefer as president of the United States, Barack Obama or Vladimir Putin?",q14x,q15x
Female,22,18-24,Independent,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,20,18-24,Democrat,Not very Strong Liberal,Some college,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Janet Yellen,15,FALSE,FALSE,FALSE,Barack Obama,,
Female,62,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,DK/REF,Never,Trillions,DK/REF,Correct,,,DK/REF,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,22,18-24,Democrat,Strong Liberal,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Millions,Low GDP,Correct,,1,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,31,25-34,Independent,Not Very Strong conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,50,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,66,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Incorrect,Robert Reich,10,TRUE,TRUE,FALSE,Barack Obama,,
Male,55,55-64,Democrat,DK/REF,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,TRUE,Barack Obama,Don't know,Don't know
Female,60,55-64,Republican,Not Very Strong conservative,High school or less,,White,,Strongly Approve,Less knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Male,72,65+,Independent,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Correct,,25,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,56,55-64,Democrat,5,Graduate degree,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a week,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,59,55-64,Democrat,Strong Conservative,High school or less,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,Low GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,64,55-64,Independent,5,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,51,45-54,Republican,Not Very Strong conservative,College degree,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,Billions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,42,35-44,Independent,Not Very Strong conservative,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,31,25-34,DK/REF,DK/REF,High school or less,,White,,Neither approve nor disapprove,DK/ REF,DK/REF,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,DK/REF,DK/REF,DK/REF,Don't know,Don't know
Female,74,65+,Democrat,Not Very Strong conservative,Some college,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,DK/REF,DK/REF,Correct,,,FALSE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Female,55,55-64,Republican,Strong Conservative,Graduate degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,DK/REF,DK/REF,FALSE,DK/REF,Don't know,Don't know
Female,62,55-64,Democrat,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,2,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,42,35-44,Republican,5,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,44,35-44,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,,50,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,42,35-44,DK/REF,DK/REF,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,DK/REF,DK/REF,DK/REF,,25,FALSE,DK/REF,FALSE,DK/REF,Don't know,
Female,32,25-34,Democrat,5,College degree,,Asian,,DK/REF,Equally knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,70,65+,Independent,5,High school or less,,Latino,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Billions,High GDP,DK/REF,,40,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,64,55-64,Democrat,5,Some college,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Billions,High GDP,Correct,,20,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,32,25-34,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,Less knowlegeable,Not very well informed,Never,DK/REF,Low GDP,DK/REF,,9,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,63,55-64,Republican,Not Very Strong conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Billions,High GDP,DK/REF,,20,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Male,64,55-64,Independent,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Thomas Sowell,30,FALSE,FALSE,FALSE,Barack Obama,,
Male,49,45-54,Independent,5,High school or less,,White,,Somewhat Approve,DK/ REF,Well Informed,Once a year,Trillions,Low GDP,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,61,55-64,Democrat,Strong Liberal,High school or less,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,20,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,25,25-34,DK/REF,DK/REF,High school or less,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a week,Trillions,DK/REF,Incorrect,,40,DK/REF,DK/REF,FALSE,Barack Obama,Don't know,
Female,30,25-34,Democrat,Strong Liberal,Some college,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,Low GDP,Correct,,15,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,29,25-34,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,52,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,33,25-34,Independent,5,Graduate degree,,Asian,,Strongly Disapprove,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,Steven Dubner,75,FALSE,FALSE,FALSE,Barack Obama,,
Male,67,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Not very well informed,Once a month,Trillions,DK/REF,DK/REF,,55,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,55,55-64,Independent,Not Very Strong conservative,High school or less,,White,,Somewhat Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,58,55-64,Independent,5,DK/REF,,White,,Somewhat Disapprove,More knowlegeable,Well Informed,Once a week,DK/REF,Low GDP,DK/REF,,,FALSE,FALSE,TRUE,DK/REF,Don't know,Don't know
Male,60,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Alan Greenspan,50,DK/REF,TRUE,FALSE,Vladimir Putin,,
Female,59,55-64,Republican,5,College degree,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,53,45-54,DK/REF,5,High school or less,,White,,Strongly Approve,Less knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,10,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,61,55-64,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,Incorrect,,50,FALSE,TRUE,FALSE,DK/REF,Don't know,
Male,47,45-54,Republican,Strong Conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Billions,High GDP,Correct,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Female,51,45-54,Democrat,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,Janet Yellen,10,FALSE,FALSE,FALSE,Barack Obama,,
Male,60,55-64,Republican,DK/REF,College degree,,White,,DK/REF,Less knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,62,55-64,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,Noam Chomsky,10,TRUE,FALSE,TRUE,Barack Obama,,
Female,55,55-64,Independent,Not Very Strong conservative,Some college,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Incorrect,,50,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,32,25-34,Democrat,5,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,5,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,55,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Walter Williams,20,FALSE,FALSE,FALSE,Barack Obama,,
Male,75,65+,Independent,5,Some college,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,57,55-64,Democrat,5,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Not very well informed,Never,Billions,DK/REF,Incorrect,,40,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,50,45-54,Republican,Not very Strong Liberal,Some college,,White,,Strongly Approve,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,38,35-44,Democrat,Not very Strong Liberal,Graduate degree,,Asian,,DK/REF,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,21,18-24,Democrat,5,College degree,,Latino,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,DK/REF,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,87,65+,Republican,5,Some college,,Asian,,Strongly Approve,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,35,35-44,Republican,Strong Conservative,College degree,,Latino,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Alan Greenspan,50,FALSE,TRUE,FALSE,Vladimir Putin,,
Female,87,65+,Democrat,Strong Conservative,High school or less,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Never,Trillions,Low GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,27,25-34,Republican,Strong Conservative,Some college,,White,,Strongly Approve,More knowlegeable,DK/REF,Never,Trillions,Low GDP,Incorrect,Thomas Sowell,50,TRUE,TRUE,FALSE,Barack Obama,,
Male,75,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Correct,Dave Ramsey,,FALSE,FALSE,FALSE,DK/REF,,Don't know
Female,36,35-44,Democrat,5,Some college,,White,,Strongly Disapprove,Less knowlegeable,Not very well informed,Once a month,Billions,DK/REF,Incorrect,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,42,35-44,Independent,Not Very Strong conservative,College degree,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Incorrect,,50,DK/REF,TRUE,FALSE,Barack Obama,Don't know,
Male,40,35-44,Independent,5,Graduate degree,,DK/REF,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,DK/REF,FALSE,FALSE,DK/REF,Don't know,Don't know
Male,33,25-34,Independent,5,Graduate degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Thomas Sowell,2,FALSE,FALSE,FALSE,Barack Obama,,
Male,66,65+,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,70,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,42,35-44,DK/REF,DK/REF,Graduate degree,,White,,Neither approve nor disapprove,Less knowlegeable,Not very well informed,Once a year,Trillions,High GDP,Correct,Michael Marrone,,TRUE,TRUE,FALSE,Barack Obama,,Don't know
Female,49,45-54,Republican,5,High school or less,,Latino,,DK/REF,Equally knowlegeable,Not very well informed,Never,Trillions,DK/REF,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,80,65+,Democrat,Not very Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,66,65+,Independent,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Incorrect,,90,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Female,40,35-44,Independent,Not Very Strong conservative,College degree,,White,,Somewhat Disapprove,Less knowlegeable,Not very well informed,Never,Billions,High GDP,Incorrect,,30,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,68,65+,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,,40,FALSE,TRUE,FALSE,DK/REF,Don't know,
Female,51,45-54,Democrat,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Not very well informed,Once a week,Trillions,High GDP,Incorrect,Ramsey Maddow,58,TRUE,TRUE,FALSE,Barack Obama,,
Female,51,45-54,Republican,Strong Conservative,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a week,Trillions,DK/REF,Correct,,30,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,55,55-64,Democrat,Not very Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,0,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,65,65+,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,5,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Other,22,18-24,DK/REF,DK/REF,Graduate degree,,DK/REF,,Strongly Approve,More knowlegeable,Well Informed,More than once,Trillions,High GDP,DK/REF,,5,TRUE,TRUE,FALSE,DK/REF,Don't know,
Female,57,55-64,Republican,Strong Conservative,College degree,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Incorrect,,,TRUE,FALSE,FALSE,DK/REF,Don't know,Don't know
Female,56,55-64,Republican,5,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a year,Billions,High GDP,Incorrect,,50,FALSE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,57,55-64,Republican,5,Some college,,White,,Strongly Approve,Less knowlegeable,Not very well informed,Once a month,Trillions,Low GDP,Incorrect,,,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Male,72,65+,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,30,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,66,65+,Independent,Not Very Strong conservative,Some college,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,Low GDP,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,49,45-54,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,DK/REF,,,TRUE,FALSE,TRUE,Barack Obama,Don't know,Don't know
Male,52,45-54,Republican,Not Very Strong conservative,Graduate degree,,White,,Somewhat Approve,More knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Correct,,50,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Female,24,18-24,Democrat,Strong Liberal,Graduate degree,,White,,Somewhat Disapprove,Equally knowlegeable,Not very well informed,Never,Trillions,Low GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,56,55-64,Independent,Strong Conservative,Some college,,DK/REF,,Somewhat Approve,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Male,48,45-54,Independent,5,College degree,,White,,DK/REF,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,28,25-34,Independent,5,Some college,,Other,Hispanic and Black,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Billions,High GDP,Correct,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,50,45-54,Independent,Not Very Strong conservative,Some college,,White,,Somewhat Approve,More knowlegeable,DK/REF,Once a month,Trillions,High GDP,Incorrect,,,FALSE,DK/REF,FALSE,DK/REF,Don't know,Don't know
Female,27,25-34,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,5,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Female,28,25-34,Democrat,5,College degree,,White,,DK/REF,Equally knowlegeable,Not very well informed,Never,Billions,DK/REF,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,41,35-44,Democrat,Strong Liberal,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,63,55-64,Democrat,5,Some college,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,Janet Yelding,,FALSE,TRUE,FALSE,Barack Obama,,Don't know
Male,78,65+,Republican,Strong Conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Incorrect,,60,TRUE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,63,55-64,Democrat,DK/REF,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a month,Trillions,High GDP,Incorrect,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,55,55-64,Republican,Strong Conservative,Graduate degree,,Latino,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,90,TRUE,TRUE,TRUE,Vladimir Putin,Don't know,
Male,63,55-64,Republican,Not Very Strong conservative,College degree,,White,,Neither approve nor disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,45,45-54,Independent,5,Some college,,Black,,Somewhat Approve,Equally knowlegeable,Well Informed,More than once,Billions,Low GDP,DK/REF,,60,FALSE,TRUE,FALSE,Barack Obama,Don't know,
Male,24,18-24,Independent,DK/REF,High school or less,,Latino,,Neither approve nor disapprove,Equally knowlegeable,Well Informed,Never,Millions,High GDP,DK/REF,,50,TRUE,TRUE,TRUE,Barack Obama,Don't know,
Male,46,45-54,Independent,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Democrat,5,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,10,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,53,45-54,Republican,Strong Liberal,College degree,,White,,Strongly Approve,More knowlegeable,Well Informed,More than once,Billions,High GDP,Correct,,50,FALSE,FALSE,FALSE,DK/REF,Don't know,
Male,50,45-54,Independent,5,College degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,Low GDP,Incorrect,,40,TRUE,FALSE,FALSE,Barack Obama,Don't know,
Female,51,45-54,Democrat,5,Graduate degree,,Black,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,,TRUE,FALSE,TRUE,Barack Obama,Don't know,Don't know
Female,75,65+,Republican,Strong Conservative,Graduate degree,,White,,Somewhat Approve,Equally knowlegeable,Well Informed,Never,Trillions,DK/REF,Correct,,,FALSE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Male,59,55-64,Democrat,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a week,Trillions,High GDP,Incorrect,Eisenberg,10,FALSE,FALSE,FALSE,Barack Obama,,
Male,52,45-54,Republican,Not Very Strong conservative,High school or less,,White,,Strongly Approve,More knowlegeable,Well Informed,Never,Trillions,Low GDP,Incorrect,,,DK/REF,TRUE,FALSE,Vladimir Putin,Don't know,Don't know
Female,56,55-64,Republican,Strong Conservative,College degree,,White,,Somewhat Approve,Equally knowlegeable,Not very well informed,Never,Trillions,High GDP,Incorrect,,75,TRUE,TRUE,FALSE,DK/REF,Don't know,
Male,66,65+,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,60,55-64,Independent,5,College degree,,Latino,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Never,DK/REF,High GDP,Incorrect,,49,DK/REF,FALSE,FALSE,DK/REF,Don't know,
Female,70,65+,Democrat,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,40,TRUE,TRUE,FALSE,Barack Obama,Don't know,
Male,67,65+,Republican,Not Very Strong conservative,High school or less,,White,,Strongly Approve,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,DK/REF,,75,TRUE,TRUE,FALSE,Vladimir Putin,Don't know,
Male,61,55-64,Democrat,5,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Green Span,90,FALSE,FALSE,FALSE,Barack Obama,,
Male,55,55-64,DK/REF,DK/REF,High school or less,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,Robert Reich,2,FALSE,TRUE,FALSE,Barack Obama,,
Male,61,55-64,Republican,5,Graduate degree,,White,,Strongly Approve,DK/ REF,Well Informed,Once a year,Trillions,High GDP,Correct,Mary Cudlow,50,FALSE,TRUE,FALSE,DK/REF,,
Male,61,55-64,Republican,5,College degree,,White,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,50,TRUE,FALSE,FALSE,DK/REF,Don't know,
Female,60,55-64,Democrat,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,DK/REF,DK/REF,,,TRUE,DK/REF,FALSE,Barack Obama,Don't know,Don't know
Male,71,65+,Independent,DK/REF,College degree,,Latino,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Correct,,60,FALSE,FALSE,FALSE,Vladimir Putin,Don't know,
Female,21,18-24,Independent,5,Some college,,Black,,Neither approve nor disapprove,More knowlegeable,Well Informed,Once a week,Trillions,High GDP,Correct,,50,FALSE,FALSE,FALSE,DK/REF,Don't know,
Female,34,25-34,Independent,5,Some college,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
Female,52,45-54,Democrat,5,College degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,DK/REF,Correct,,20,FALSE,FALSE,FALSE,Barack Obama,Don't know,
Male,82,65+,Independent,Strong Liberal,Graduate degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Never,Trillions,High GDP,Correct,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,45,45-54,Independent,Not Very Strong conservative,Graduate degree,,DK/REF,,Strongly Disapprove,More knowlegeable,Well Informed,Once a month,Trillions,High GDP,Incorrect,,,FALSE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Male,63,55-64,Democrat,DK/REF,Graduate degree,,White,,Strongly Disapprove,More knowlegeable,Well Informed,Once a year,Trillions,High GDP,Correct,Paul krugman,,FALSE,FALSE,FALSE,Barack Obama,,Don't know
Female,49,45-54,Democrat,5,College degree,,Black,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a month,Trillions,High GDP,DK/REF,,,TRUE,FALSE,FALSE,Barack Obama,Don't know,Don't know
Female,64,55-64,Democrat,DK/REF,High school or less,,White,,Somewhat Approve,DK/ REF,Well Informed,Never,DK/REF,DK/REF,DK/REF,,,TRUE,TRUE,FALSE,DK/REF,Don't know,Don't know
Male,48,45-54,Republican,Strong Conservative,High school or less,,White,,Somewhat Approve,Less knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Incorrect,AL GORE,,TRUE,TRUE,FALSE,DK/REF,,Don't know
Male,36,35-44,Independent,Strong Liberal,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Well Informed,Once a year,Trillions,High GDP,DK/REF,,65,TRUE,TRUE,FALSE,DK/REF,Don't know,
Female,79,65+,Republican,DK/REF,High school or less,,White,,DK/REF,Equally knowlegeable,Not very well informed,Never,DK/REF,DK/REF,DK/REF,,,DK/REF,TRUE,DK/REF,DK/REF,Don't know,Don't know
Male,25,25-34,Independent,DK/REF,College degree,,White,,Strongly Disapprove,Equally knowlegeable,Not very well informed,Once a year,Trillions,DK/REF,Incorrect,,,TRUE,TRUE,FALSE,Barack Obama,Don't know,Don't know
